statecd,districtID,Clinton2016,Trump2016,Obama2012,Romney2012,Margin2016,Margin2012,MarginChange,HouseDem,HouseRep,HouseMargin,HousePresMargin
MN7,218,31,61.8,44.1,53.9,-30.8,-9.8,-21,52.46790067,47.43930748,5.028593191,-35.82859319
MN8,219,38.6,54.2,51.7,46.2,-15.6,5.5,-21.1,50.17045821,49.60768,0.5627782026,-16.1627782
MS1,220,32.4,65.4,37,61.9,-33,-24.9,-8.1,27.9429338,68.72143611,-40.77850231,7.778502312
MS2,221,63.6,35.1,66.4,33,28.5,33.4,-4.9,67.10591503,29.1466929,37.95922212,-9.459222122
MS3,222,36.8,61.3,39.1,60,-24.5,-20.9,-3.6,30.36894247,66.2010776,-35.83213513,11.33213513
MS4,223,28.2,69.4,31.2,67.6,-41.2,-36.4,-4.8,27.80159194,65.04184318,-37.24025124,-3.959748762
MO1,224,77,18.8,79.9,18.9,58.2,61,-2.8,75.46970932,19.97108501,55.49862431,2.701375691
MO2,225,42.3,52.6,41.4,57.1,-10.3,-15.7,5.4,37.67009601,58.54254578,-20.87244977,10.57244977
MO3,226,28.1,67.1,36.1,62,-39,-25.9,-13.1,27.93423342,67.83671297,-39.90247955,0.9024795498
MO4,227,29.3,65.3,36.4,61.2,-36,-24.8,-11.2,27.84483226,67.82809706,-39.98326481,3.983264807
MO5,228,54.1,40.6,58.9,39.4,13.5,19.5,-6,58.82937059,38.16911833,20.66025226,-7.160252259
MO6,229,31.7,63.1,37.9,60,-31.4,-22.1,-9.3,28.44734109,68.02456313,-39.57722204,8.177222038
MO7,230,24.7,70.4,30.3,67.6,-45.7,-37.3,-8.4,27.39340888,67.53906446,-40.14565558,-5.554344417
MO8,231,21,75.4,32,65.9,-54.4,-33.9,-20.5,22.66609685,74.39740215,-51.7313053,-2.668694698
MT0,232,35.9,56.5,41.7,55.4,-20.6,-13.7,-6.9,40.54872586,56.19152828,-15.64280243,-4.957197572
NE1,233,36.2,57.5,40.8,57.4,-21.3,-16.6,-4.7,30.54736164,69.45263836,-38.90527672,17.60527672
NE2,234,46,48.2,45.7,52.9,-2.2,-7.2,5,47.72743039,48.92892323,-1.201492848,-0.9985071521
